method,dataset,target,total,hit,hit_ratio
darth,T2I1M,0.95,10000,9536,0.9536
darth,T2I1M,0.96,10000,9560,0.956
darth,T2I1M,0.97,10000,9501,0.9501
darth,T2I1M,0.98,10000,9324,0.9324
darth,T2I1M,0.99,10000,8891,0.8891
laet,T2I1M,0.95,10000,6691,0.6691
laet,T2I1M,0.96,10000,7239,0.7239
laet,T2I1M,0.97,10000,7403,0.7403
laet,T2I1M,0.98,10000,7580,0.758
laet,T2I1M,0.99,10000,7613,0.7613
raet,T2I1M,0.95,10000,9416,0.9416
raet,T2I1M,0.96,10000,9594,0.9594
raet,T2I1M,0.97,10000,9537,0.9537
raet,T2I1M,0.98,10000,9402,0.9402
raet,T2I1M,0.99,10000,9004,0.9004
raet-cns-regression_CNSFull,T2I1M,0.95,10000,6727,0.6727
raet-cns-regression_CNSFull,T2I1M,0.96,10000,7365,0.7365
raet-cns-regression_CNSFull,T2I1M,0.97,10000,7141,0.7141
raet-cns-regression_CNSFull,T2I1M,0.98,10000,7631,0.7631
raet-cns-regression_CNSFull,T2I1M,0.99,10000,8374,0.8374
